Feature,CorrelationWithBorrowerAPR,AbsCorrelation
EstimatedLoss,0.9495375016816915,0.9495375016816915
ProsperScore,-0.6682871968922675,0.6682871968922675
CreditScoreRangeLower,-0.4297073220587579,0.4297073220587579
LoanOriginalAmount,-0.32288668996967895,0.32288668996967895
BankcardUtilization,0.2614380402519329,0.2614380402519329
DelinquenciesLast7Years,0.16222539101887673,0.16222539101887673
CurrentDelinquencies,0.14940393564399232,0.14940393564399232
InquiriesLast6Months,0.1461193077096644,0.1461193077096644
DebtToIncomeRatio,0.05632741744354591,0.05632741744354591
TotalTrades,-0.04189387483725946,0.04189387483725946
Term,-0.011183468547650906,0.011183468547650906
